x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-91.85479618,-47.24138966,-106.90384,168,2023-08-10T09:54:14.773297Z,46.51054932,8.476171844,-1.37847616,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000237867,8,-4.124441803,MwA
-95.13250631,-46.64769603,-106.820804,169,2023-08-10T09:54:22.796451Z,46.51055505,8.476129244,-1.378559196,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.00023739,9,-4.549708871,MwA
-92.00383763,-30.4421848,-124.977015,179,2023-08-10T09:56:06.724104Z,46.51070044,8.476172793,-1.360402985,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000204663,8,-3.867863391,MwA
-93.6515959,-50.0511766,-107.719234,183,2023-08-10T09:56:22.659518Z,46.51052426,8.476147951,-1.377660766,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,4.61E-05,9,-4.455730161,MwA
-88.91607786,-47.67058868,-106.492468,184,2023-08-10T09:56:28.397494Z,46.51054511,8.476210056,-1.378887532,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.84E-05,12,-4.445142426,MwA
-91.04204594,-47.77318146,-106.729771,185,2023-08-10T09:56:29.963579Z,46.51054444,8.476182341,-1.378650229,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000102693,10,-4.534813367,MwA
-78.61345794,-37.30322022,-92.322455,188,2023-08-10T09:57:05.374840Z,46.51063714,8.476346068,-1.393057545,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.61E-05,11,-4.330427101,MwA
-92.81047985,-47.5931507,-105.04661,189,2023-08-10T09:57:10.085027Z,46.51054627,8.476159333,-1.38033339,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,4.05E-05,10,-4.516980906,MwA
-92.16659362,-47.67286499,-86.886498,190,2023-08-10T09:57:22.365174Z,46.51054548,8.476167711,-1.398493502,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.24E-05,11,-4.358692994,MwA
-88.79233868,-34.26450766,-109.470356,191,2023-08-10T09:57:23.716312Z,46.51066568,8.476213977,-1.375909644,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000241435,9,-4.482166993,MwA
-97.3487647,-49.67527481,-112.06215,192,2023-08-10T09:57:25.575166Z,46.51052808,8.476099848,-1.37331785,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,9.23E-05,8,-4.437975259,MwA
-100.2477968,-56.94064935,-81.775484,193,2023-08-10T09:57:30.000500Z,46.51046308,8.476060833,-1.403604516,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,5.55E-05,9,-4.435745547,MwA
-97.78069059,-47.39567392,-91.694653,195,2023-08-10T09:57:41.519347Z,46.51054864,8.476094617,-1.393685347,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000101449,10,-4.543032271,MwA
