Time,EC,Experiment
14:18:04,70.8,High Seismicity
14:18:06,70.7,High Seismicity
14:18:08,70.7,High Seismicity
14:18:10,70.7,High Seismicity
14:18:12,70.7,High Seismicity
14:18:14,70.7,High Seismicity
14:18:16,70.7,High Seismicity
14:18:18,70.7,High Seismicity
14:18:20,70.7,High Seismicity
14:18:22,70.7,High Seismicity
14:18:24,70.7,High Seismicity
14:18:26,70.7,High Seismicity
14:18:28,70.7,High Seismicity
14:18:30,70.7,High Seismicity
14:18:32,70.7,High Seismicity
14:18:34,70.7,High Seismicity
14:18:36,70.7,High Seismicity
14:18:38,70.7,High Seismicity
14:18:40,70.7,High Seismicity
14:18:42,70.7,High Seismicity
14:18:44,70.7,High Seismicity
14:18:46,70.7,High Seismicity
14:18:48,70.7,High Seismicity
14:18:50,70.7,High Seismicity
14:18:52,70.7,High Seismicity
14:18:54,70.7,High Seismicity
14:18:56,70.7,High Seismicity
14:18:58,70.7,High Seismicity
14:19:00,70.6,High Seismicity
14:19:02,70.6,High Seismicity
14:19:04,70.7,High Seismicity
14:19:06,70.7,High Seismicity
14:19:08,70.6,High Seismicity
14:19:10,70.6,High Seismicity
14:19:12,70.6,High Seismicity
14:19:14,70.6,High Seismicity
14:19:16,70.6,High Seismicity
14:19:18,70.6,High Seismicity
14:19:20,70.6,High Seismicity
14:19:22,70.6,High Seismicity
14:19:24,70.7,High Seismicity
14:19:26,70.6,High Seismicity
14:19:28,70.6,High Seismicity
14:19:30,70.6,High Seismicity
14:19:32,70.6,High Seismicity
14:19:34,70.6,High Seismicity
14:19:36,70.6,High Seismicity
14:19:38,70.6,High Seismicity
14:19:40,70.6,High Seismicity
14:19:42,70.6,High Seismicity
14:19:44,70.6,High Seismicity
14:19:46,70.6,High Seismicity
14:19:48,70.6,High Seismicity
14:19:50,70.6,High Seismicity
14:19:52,70.6,High Seismicity
14:19:54,70.6,High Seismicity
14:19:56,70.6,High Seismicity
14:19:58,70.6,High Seismicity
14:20:00,70.6,High Seismicity
14:20:02,70.6,High Seismicity
14:20:04,70.6,High Seismicity
14:20:06,70.6,High Seismicity
14:20:08,70.6,High Seismicity
14:20:10,70.6,High Seismicity
14:20:12,70.6,High Seismicity
14:20:14,70.6,High Seismicity
14:20:16,70.6,High Seismicity
14:20:18,70.6,High Seismicity
14:20:20,70.6,High Seismicity
14:20:22,70.6,High Seismicity
14:20:24,70.6,High Seismicity
14:20:26,70.6,High Seismicity
14:20:28,70.6,High Seismicity
14:20:30,70.6,High Seismicity
14:20:32,70.6,High Seismicity
14:20:34,70.6,High Seismicity
14:20:36,70.6,High Seismicity
14:20:38,70.6,High Seismicity
14:20:40,70.6,High Seismicity
14:20:42,70.6,High Seismicity
14:20:44,70.6,High Seismicity
14:20:46,70.6,High Seismicity
14:20:48,70.6,High Seismicity
14:20:50,70.6,High Seismicity
14:20:52,70.6,High Seismicity
14:20:54,70.6,High Seismicity
14:20:56,70.6,High Seismicity
14:20:58,70.6,High Seismicity
14:21:00,70.6,High Seismicity
14:21:02,70.6,High Seismicity
14:21:04,70.6,High Seismicity
14:21:06,70.6,High Seismicity
14:21:08,70.6,High Seismicity
14:21:10,70.6,High Seismicity
14:21:12,70.6,High Seismicity
14:21:14,70.6,High Seismicity
14:21:16,70.6,High Seismicity
14:21:18,70.6,High Seismicity
14:21:20,70.6,High Seismicity
14:21:22,70.6,High Seismicity
14:21:24,70.6,High Seismicity
14:21:26,70.6,High Seismicity
14:21:28,70.6,High Seismicity
14:21:30,70.5,High Seismicity
14:21:32,70.6,High Seismicity
14:21:34,70.6,High Seismicity
14:21:36,70.6,High Seismicity
14:21:38,70.6,High Seismicity
14:21:40,70.6,High Seismicity
14:21:42,70.6,High Seismicity
14:21:44,70.5,High Seismicity
14:21:46,70.6,High Seismicity
14:21:48,70.6,High Seismicity
14:21:50,70.6,High Seismicity
14:21:52,70.6,High Seismicity
14:21:54,70.6,High Seismicity
14:21:56,70.6,High Seismicity
14:21:58,70.6,High Seismicity
14:22:00,70.6,High Seismicity
14:22:02,70.6,High Seismicity
14:22:04,70.6,High Seismicity
14:22:06,70.5,High Seismicity
14:22:08,70.6,High Seismicity
14:22:10,70.5,High Seismicity
14:22:12,70.5,High Seismicity
14:22:14,70.5,High Seismicity
14:22:16,70.5,High Seismicity
14:22:18,70.5,High Seismicity
14:22:20,70.5,High Seismicity
14:22:22,70.5,High Seismicity
14:22:24,70.5,High Seismicity
14:22:26,70.5,High Seismicity
14:22:28,70.5,High Seismicity
14:22:30,70.5,High Seismicity
14:22:32,70.5,High Seismicity
14:22:34,70.5,High Seismicity
14:22:36,70.5,High Seismicity
14:22:38,70.5,High Seismicity
14:22:40,70.5,High Seismicity
14:22:42,70.5,High Seismicity
14:22:44,70.5,High Seismicity
14:22:46,70.5,High Seismicity
14:22:48,70.5,High Seismicity
14:22:50,70.5,High Seismicity
14:22:52,70.5,High Seismicity
14:22:54,70.5,High Seismicity
14:22:56,70.5,High Seismicity
14:22:58,70.5,High Seismicity
14:23:00,70.5,High Seismicity
14:23:02,70.5,High Seismicity
14:23:04,70.5,High Seismicity
14:23:06,70.5,High Seismicity
14:23:08,70.5,High Seismicity
14:23:10,70.5,High Seismicity
14:23:12,70.5,High Seismicity
14:23:14,70.5,High Seismicity
14:23:16,70.5,High Seismicity
14:23:18,70.5,High Seismicity
14:23:20,70.5,High Seismicity
14:23:22,70.5,High Seismicity
14:23:24,70.5,High Seismicity
