x,y,z,id,isotime,latitude,longitude,depth,event_type,evaluation_mode,method_id,author,rms,num_phase,magnitude,mag_type
-103.2300292,-49.68664828,-97.362761,90,2023-08-03T10:20:03.646909Z,46.51052868,8.476023227,-1.388017239,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,4.85E-05,9,-4.53511689,MwA
-94.96046858,-49.79323582,-86.458323,91,2023-08-03T10:20:03.941850Z,46.51052674,8.476130947,-1.398921677,induced or triggered event,manual,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,LinusVilliger,0.000268314,36,-3.119755846,MwA
-93.01079726,-45.12898781,-97.61513,92,2023-08-03T10:20:06.502123Z,46.51056846,8.476157149,-1.38776487,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.81E-05,11,-4.459332299,MwA
-106.2394238,-44.27875612,-101.813772,94,2023-08-03T10:20:20.303626Z,46.51057768,8.475984951,-1.383566228,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.000283541,8,-4.347712364,MwA
-92.42159169,-42.89333379,-93.748259,97,2023-08-03T10:20:27.982607Z,46.5105885,8.476165211,-1.391631741,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.72E-05,15,-4.30245617,MwA
-96.26454767,-45.8779906,-96.673533,98,2023-08-03T10:20:28.660139Z,46.51056211,8.47611463,-1.388706467,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,5.28E-05,8,-4.450928033,MwA
-105.1745311,-47.10410181,-101.265213,99,2023-08-03T10:20:34.540979Z,46.51055214,8.475998338,-1.384114787,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,8.95E-05,12,-4.193795809,MwA
-97.59010622,-43.06840375,-93.508355,100,2023-08-03T10:20:35.117417Z,46.51058754,8.476097845,-1.391871645,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,7.54E-05,13,-4.366860225,MwA
-96.77348737,-50.9122688,-87.024291,103,2023-08-03T10:20:53.929307Z,46.51051689,8.476107134,-1.398355709,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,0.00014743,18,-4.06296304,MwA
-89.89820543,-46.25554689,-80.507577,104,2023-08-03T10:20:56.312729Z,46.51055796,8.476197509,-1.404872423,,automatic,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,scanloc@bedretto-dev2,6.03E-05,10,-4.284369873,MwA
